,Start,High,Low,Last,Drop,Recover,TotalChange,Score,HighDate,LowDate,DropTime
MSFT,74.76,116.18,72.92,111.59,0.628,1.53,1.493,3.797,2018-10-03,2017-09-25,179
AAPL,162.61,233.47,142.0,174.23,0.608,1.227,1.071,2.794,2018-10-03,2019-01-03,62
AMZN,983.27,2050.5,931.75,1633.0,0.454,1.753,1.661,3.1,2018-09-04,2017-09-26,180
BRKB,204.25,204.59,199.92,201.91,0.977,1.01,0.989,3.906,2019-02-22,2019-02-22,0
FB,173.76,218.62,123.02,164.62,0.563,1.338,0.947,2.573,2018-07-25,2018-12-24,105
JNJ,133.83,148.99,118.62,136.2,0.796,1.148,1.018,3.448,2018-12-04,2018-05-29,348
JPM,90.17,119.33,90.1,106.1,0.755,1.178,1.177,3.556,2018-02-27,2017-09-12,170
GOOG,932.59,1273.89,909.7,1109.4,0.714,1.22,1.19,3.441,2018-07-27,2017-09-25,179
GOOGL,946.92,1291.4399,924.51,1117.33,0.716,1.209,1.18,3.421,2018-07-27,2017-09-25,179
XOM,79.4,89.3,64.65,78.5,0.724,1.214,0.989,3.19,2018-01-29,2018-12-26,229
BAC,23.46,33.05,22.66,29.27,0.686,1.292,1.248,3.485,2018-03-12,2018-12-24,199
UNH,199.44,287.94,186.0,264.6,0.646,1.423,1.327,3.553,2018-12-04,2017-10-13,193
V,106.64,151.56,102.75,146.06,0.678,1.422,1.37,3.786,2018-10-01,2017-09-25,179
PG,93.72,100.45,70.73,99.57,0.704,1.408,1.062,3.478,2019-02-25,2018-05-02,330
PFE,34.38,46.47,33.2,43.08,0.714,1.298,1.253,3.643,2018-12-04,2018-02-09,274
INTC,35.88,57.6,35.74,53.1,0.62,1.486,1.48,3.678,2018-06-04,2017-09-12,170
VZ,46.5,61.58,43.97,56.78,0.714,1.291,1.221,3.587,2018-11-20,2017-11-15,216
CVX,112.82,133.88,100.22,119.62,0.749,1.194,1.06,3.376,2018-01-16,2018-12-26,238
T,35.96,39.8,26.8,31.13,0.673,1.162,0.866,2.73,2017-10-05,2018-12-26,307
CSCO,32.3,51.0,31.91,50.79,0.626,1.592,1.572,3.961,2019-02-25,2017-09-14,172
BA,240.59,429.92,237.09,426.87,0.551,1.8,1.774,3.939,2019-02-25,2017-09-13,171
HD,159.06,215.43,157.16,189.98,0.73,1.209,1.194,3.508,2018-09-12,2017-09-19,175
WFC,50.85,66.31,43.02,49.66,0.649,1.154,0.977,2.766,2018-01-29,2018-12-26,229
MRK,65.12,80.99,52.83,80.38,0.652,1.521,1.234,3.593,2019-02-25,2018-04-03,309
MA,142.66,225.4,137.75,223.32,0.611,1.621,1.565,3.893,2019-02-25,2017-09-26,180
KO,46.5,50.84,41.45,44.94,0.815,1.084,0.966,3.341,2018-11-20,2018-05-15,339
CMCSA,38.38,44.0,30.43,38.57,0.692,1.267,1.005,3.144,2018-01-24,2018-05-09,73
DIS,97.59,120.2,96.8,113.59,0.805,1.173,1.164,3.763,2018-11-09,2017-10-13,193
PEP,115.69,122.51,95.94,116.06,0.783,1.21,1.003,3.466,2018-01-23,2018-05-09,74
C,68.22,80.7,48.42,64.53,0.6,1.333,0.946,2.735,2018-01-29,2018-12-26,229
NFLX,182.55,423.21,176.55,363.91,0.417,2.061,1.993,3.381,2018-06-21,2017-09-26,180
WMT,79.3,109.98,77.5,99.12,0.705,1.279,1.25,3.566,2018-01-29,2017-10-02,184
MCD,160.21,190.88,146.84,182.61,0.769,1.244,1.14,3.667,2018-11-29,2018-03-02,288
PM,118.07,118.17,64.67,86.6,0.547,1.339,0.733,2.267,2017-09-12,2018-12-27,325
ORCL,52.64,53.48,42.4,52.56,0.793,1.24,0.998,3.549,2018-03-13,2018-12-26,199
ABT,52.49,77.05,51.37,76.86,0.667,1.496,1.464,3.949,2019-02-25,2017-09-19,175
DWDP,68.2,77.08,48.89,56.08,0.634,1.147,0.822,2.497,2018-01-24,2018-12-26,232
ADBE,156.76,277.61,143.95,258.62,0.519,1.797,1.65,3.578,2018-09-14,2017-09-25,179
UNP,107.91,172.44,107.78,169.55,0.625,1.573,1.571,3.93,2019-02-19,2017-09-12,170
IBM,145.11,171.13,105.94,139.46,0.619,1.316,0.961,2.819,2018-01-18,2018-12-26,236
MDT,81.5,100.15,76.41,92.22,0.763,1.207,1.132,3.569,2018-09-26,2018-03-23,303
CRM,97.59,163.57,92.11,161.36,0.563,1.752,1.653,3.834,2019-02-13,2017-09-25,179
MMM,209.91,259.77,176.87,210.58,0.681,1.191,1.003,2.988,2018-01-26,2018-12-26,230
ABBV,86.97,125.86,75.77,80.29,0.602,1.06,0.923,2.388,2018-01-26,2019-01-29,252
AMGN,187.0,210.19,163.31,189.81,0.777,1.162,1.015,3.383,2018-09-27,2018-04-02,308
AVGO,249.66,286.63,197.46,278.6,0.689,1.411,1.116,3.482,2019-02-20,2018-07-12,379
LLY,82.6,124.74,73.69,123.89,0.591,1.681,1.5,3.76,2019-02-22,2018-02-09,274
HON,133.1669,162.5194,123.48,154.06,0.76,1.248,1.157,3.656,2018-10-01,2018-12-26,59
PYPL,62.95,97.304,61.58,96.7,0.633,1.57,1.536,3.932,2019-02-25,2017-09-13,171
NKE,53.77,86.04,50.35,85.17,0.585,1.692,1.584,3.833,2018-09-21,2017-10-12,192
UTX,110.07,144.15,100.48,128.27,0.697,1.277,1.165,3.404,2018-09-21,2018-12-26,65
TXN,82.34,120.75,82.16,108.19,0.68,1.317,1.314,3.578,2018-01-23,2017-09-12,170
ACN,136.56,175.64,132.27,161.67,0.753,1.222,1.184,3.623,2018-09-21,2017-09-28,182
TMO,194.02,255.73,181.51,253.84,0.71,1.398,1.308,3.843,2019-02-25,2017-12-05,229
NVDA,170.0,292.76,124.46,158.69,0.425,1.275,0.933,1.877,2018-10-02,2018-12-26,58
MO,62.44,74.38,42.4,51.84,0.57,1.223,0.83,2.34,2017-12-19,2019-01-24,274
LIN,159.18,175.01,145.95,174.62,0.834,1.196,1.097,3.825,2019-02-25,2018-12-26,148
COST,157.67,245.16,154.11,217.05,0.629,1.408,1.377,3.504,2018-09-11,2017-10-09,189
NEE,151.08,189.39,144.7,187.88,0.764,1.298,1.244,3.884,2019-02-25,2017-09-28,182
BKNG,1875.46,2228.99,1606.27,1890.03,0.721,1.177,1.008,3.151,2018-03-13,2018-12-24,198
SBUX,53.98,72.07,47.37,71.05,0.657,1.5,1.316,3.7,2019-02-25,2018-06-28,370
GE,23.82,25.21,6.66,10.82,0.264,1.625,0.454,1.098,2017-09-26,2018-12-11,304
GILD,84.15,89.54,60.32,65.35,0.674,1.083,0.777,2.507,2018-01-29,2018-12-26,229
LOW,77.88,117.7,75.36,105.01,0.64,1.393,1.348,3.508,2018-09-28,2017-11-02,207
CAT,119.19,173.24,112.06,141.41,0.647,1.262,1.186,3.168,2018-01-16,2018-10-29,199
BMY,62.44,70.05,44.3,50.65,0.632,1.143,0.811,2.47,2018-02-16,2019-01-03,220
COP,45.03,80.24,44.79,69.25,0.558,1.546,1.538,3.442,2018-10-01,2017-09-12,170
CVS,80.0,84.0,60.14,61.23,0.716,1.018,0.765,2.553,2017-09-19,2018-03-27,130
ANTM,195.89,317.99,179.4,314.4,0.564,1.753,1.605,3.788,2019-02-25,2017-09-20,176
AMT,146.14,178.32,130.37,174.23,0.731,1.336,1.192,3.696,2019-02-19,2018-02-09,274
UPS,116.23,135.53,89.89,110.86,0.663,1.233,0.954,2.9,2018-01-18,2018-12-24,235
USB,51.14,58.5,43.14,51.61,0.737,1.196,1.009,3.25,2018-01-29,2018-12-26,229
LMT,304.45,363.0,241.18,305.97,0.664,1.269,1.005,3.02,2018-02-16,2018-12-26,215
AXP,85.97,114.55,85.81,106.93,0.749,1.246,1.244,3.73,2018-12-03,2017-09-12,170
CI,186.41,227.13,163.02,191.62,0.718,1.175,1.028,3.164,2018-01-29,2018-03-13,30
MDLZ,41.33,48.46,37.42,47.21,0.772,1.262,1.142,3.712,2019-02-21,2018-05-02,330
DHR,87.07,124.1,83.81,123.15,0.675,1.469,1.414,3.892,2019-02-25,2017-10-17,195
GS,222.54,275.31,151.7,198.65,0.551,1.309,0.893,2.427,2018-03-12,2018-12-26,200
BDX,203.45,265.87,191.53,250.28,0.72,1.307,1.23,3.653,2018-10-01,2017-09-21,177
ADP,107.05,154.55,106.25,152.49,0.687,1.435,1.424,3.928,2019-02-25,2017-09-15,173
BIIB,326.82,388.67,249.17,327.48,0.641,1.314,1.002,2.969,2018-07-25,2018-04-24,324
DUK,88.3,91.8,71.96,89.48,0.784,1.243,1.013,3.537,2017-11-15,2018-06-11,141
QCOM,50.6,76.5,48.56,52.99,0.635,1.091,1.047,2.715,2018-09-18,2018-04-26,326
CME,128.98,197.08,128.61,177.49,0.653,1.38,1.376,3.599,2018-11-19,2017-09-12,170
ISRG,348.1933,581.12,337.7967,553.39,0.581,1.638,1.589,3.75,2018-10-01,2017-09-26,180
CB,145.89,157.5,119.54,135.37,0.759,1.132,0.928,3.127,2018-01-31,2018-12-26,227
TJX,36.505,56.64,33.22,49.4,0.587,1.487,1.353,3.334,2018-10-01,2017-11-14,215
CELG,140.89,147.17,58.59,90.41,0.398,1.543,0.642,1.739,2017-10-02,2018-12-26,310
SLB,65.76,80.35,34.99,44.79,0.435,1.28,0.681,1.706,2018-01-23,2018-12-26,233
CHTR,380.92,396.64,250.1,348.9,0.631,1.395,0.916,2.916,2018-02-02,2018-04-27,58
INTU,142.93,251.57,140.21,247.72,0.557,1.767,1.733,3.899,2019-02-22,2017-10-04,186
SYK,143.69,189.69,138.94,187.48,0.732,1.349,1.305,3.885,2019-02-25,2017-09-25,179
CSX,52.05,76.24,48.26,72.82,0.633,1.509,1.399,3.682,2018-08-28,2017-11-15,216
CL,72.0,77.91,57.41,66.52,0.737,1.159,0.924,3.07,2018-01-19,2018-10-29,196
PNC,124.19,163.59,108.45,123.69,0.663,1.141,0.996,2.834,2018-02-27,2018-12-26,209
D,79.79,85.3,61.53,75.12,0.721,1.221,0.941,3.118,2017-12-18,2018-06-06,116
WBA,82.24,86.31,59.07,71.31,0.684,1.207,0.867,2.837,2018-12-04,2018-06-28,370
SPG,160.4,191.49,145.78,183.3,0.761,1.257,1.143,3.653,2018-12-11,2018-04-25,325
BSX,28.97,40.81,24.54,39.99,0.601,1.63,1.38,3.618,2019-02-22,2017-12-06,230
EOG,87.85,133.53,82.04,94.75,0.614,1.155,1.079,2.743,2018-10-09,2018-12-26,53
SCHW,39.67,60.22,37.83,46.01,0.628,1.216,1.16,2.984,2018-05-21,2018-12-26,151
MS,45.36,59.38,36.74,42.19,0.619,1.148,0.93,2.573,2018-03-12,2018-12-24,199
FOXA,25.83,51.27,24.81,50.73,0.484,2.045,1.964,3.881,2019-02-25,2017-11-06,209
RTN,182.62,229.75,144.27,186.25,0.628,1.291,1.02,2.903,2018-04-24,2018-12-26,170
BLK,426.14,594.52,360.79,438.93,0.607,1.217,1.03,2.728,2018-01-23,2018-12-24,232
DE,118.51,175.26,116.72,164.86,0.666,1.412,1.391,3.734,2018-02-16,2017-09-13,171
GM,37.41,46.76,30.56,40.14,0.654,1.313,1.073,3.121,2017-10-24,2018-10-24,252
SO,50.49,53.51,42.38,49.56,0.792,1.169,0.982,3.407,2017-11-03,2018-02-22,74
OXY,60.35,87.67,56.83,66.23,0.648,1.165,1.097,2.932,2018-06-07,2018-12-26,139
NOC,268.88,360.88,223.63,287.05,0.62,1.284,1.068,2.916,2018-04-05,2018-12-26,183
NSC,126.25,186.91,125.5,181.41,0.671,1.445,1.437,3.868,2018-09-18,2017-09-13,171
SPGI,152.9,217.31,152.48,201.94,0.702,1.324,1.321,3.714,2018-07-26,2017-09-12,170
CCI,106.94,120.56,98.85,118.17,0.82,1.195,1.105,3.772,2019-02-19,2018-04-30,328
BK,51.7,58.99,43.67,52.93,0.74,1.212,1.024,3.309,2018-01-16,2018-12-26,238
GD,199.89,230.0,143.87,173.14,0.626,1.203,0.866,2.59,2018-03-09,2018-12-26,201
EXC,38.35,48.97,35.57,48.42,0.726,1.361,1.263,3.81,2019-02-25,2018-02-06,271
VRTX,156.65,195.81,136.5,186.33,0.697,1.365,1.189,3.56,2019-01-22,2017-12-07,231
MU,33.69,64.66,28.39,42.75,0.439,1.506,1.269,2.436,2018-05-30,2018-12-26,145
MMC,81.39,93.39,74.3,92.58,0.796,1.246,1.137,3.794,2019-02-25,2018-12-26,494
ZTS,65.25,96.57,62.79,94.39,0.65,1.503,1.447,3.835,2018-11-01,2017-09-28,182
PLD,65.09,71.92,55.21,71.26,0.768,1.291,1.095,3.665,2019-02-25,2018-12-26,494
MPC,53.95,88.45,52.26,64.75,0.591,1.239,1.2,2.883,2018-09-25,2017-09-15,173
FDX,213.31,274.66,150.94,181.07,0.55,1.2,0.849,2.254,2018-01-18,2018-12-26,236
MET,47.81,55.91,37.76,45.26,0.675,1.199,0.947,2.897,2017-11-02,2018-12-26,287
ITW,141.81,179.07,117.75,145.02,0.658,1.232,1.023,2.968,2018-01-29,2018-12-26,229
ILMN,213.21,372.61,196.0,304.74,0.526,1.555,1.429,3.139,2018-09-28,2017-09-28,182
AGN,233.0,233.23,125.84,136.2,0.54,1.082,0.585,1.8,2017-09-12,2018-12-26,324
ECL,129.82,168.49,125.74,168.22,0.746,1.338,1.296,3.93,2019-02-25,2018-02-09,274
ICE,65.66,82.65,64.91,75.34,0.785,1.161,1.147,3.624,2018-12-03,2017-10-25,201
EMR,61.0,79.7,55.39,68.75,0.695,1.241,1.127,3.292,2018-10-04,2018-12-26,56
HUM,257.11,355.88,231.9,304.87,0.652,1.315,1.186,3.261,2018-11-07,2017-11-20,219
PGR,46.3,73.69,45.43,72.73,0.617,1.601,1.571,3.914,2018-11-07,2017-09-14,172
KMB,119.65,123.77,97.1,117.78,0.785,1.213,0.984,3.449,2017-12-05,2018-04-24,95
AON,142.63,173.53,130.87,171.17,0.754,1.308,1.2,3.782,2019-02-19,2018-01-03,248
CTSH,72.38,85.1,59.47,72.25,0.699,1.215,0.998,3.094,2018-03-15,2018-12-26,197
PSX,85.2,123.97,78.44,97.29,0.633,1.24,1.142,3.016,2018-08-07,2018-12-24,96
BBT,44.79,56.31,40.68,51.26,0.722,1.26,1.144,3.471,2018-03-12,2018-12-26,200
AEP,74.49,81.76,62.71,80.78,0.767,1.288,1.084,3.639,2019-02-22,2018-06-11,357
APD,149.85,182.25,148.44,181.17,0.814,1.22,1.209,3.954,2019-02-25,2018-10-26,454
PRU,101.48,127.14,75.61,95.56,0.595,1.264,0.942,2.625,2018-01-29,2018-12-26,229
WM,77.59,100.16,75.86,99.3,0.757,1.309,1.28,3.92,2019-02-15,2017-10-04,186
ADI,82.63,108.28,76.62,107.9,0.708,1.408,1.306,3.843,2019-02-20,2018-10-26,454
COF,79.39,106.5,69.9,81.42,0.656,1.165,1.026,2.875,2018-01-24,2018-12-26,232
AMAT,45.84,62.4,28.79,39.66,0.461,1.378,0.865,2.068,2018-03-12,2018-12-26,200
AIG,60.84,65.55,36.16,43.83,0.552,1.212,0.72,2.133,2017-10-20,2018-12-10,285
HCA,78.3,147.42,71.18,143.26,0.483,2.013,1.83,3.712,2018-12-04,2017-10-13,193
TGT,57.33,90.39,54.04,73.1,0.598,1.353,1.275,3.143,2018-09-10,2017-11-15,216
USD,30.5733,54.1067,25.62,39.93,0.474,1.559,1.306,2.716,2018-03-13,2018-12-26,199
AFL,41.305,49.38,40.55,48.96,0.821,1.207,1.185,3.928,2019-02-15,2017-09-29,183
HPQ,19.29,27.08,19.1,23.91,0.705,1.252,1.24,3.514,2018-10-04,2017-09-13,171
BAX,64.4,78.38,60.78,74.79,0.775,1.231,1.161,3.708,2018-09-20,2017-10-10,190
KMI,19.44,19.85,14.62,19.3,0.737,1.32,0.993,3.409,2017-09-20,2018-12-26,318
EW,115.17,178.68,100.2,170.44,0.561,1.701,1.48,3.569,2019-02-19,2017-10-30,204
SHW,348.5,479.64,338.45,437.68,0.706,1.293,1.256,3.599,2018-09-21,2017-09-18,174
MAR,104.66,149.21,100.62,128.48,0.674,1.277,1.228,3.377,2018-01-30,2018-12-24,227
VLO,70.0,126.98,68.81,84.98,0.542,1.235,1.214,2.655,2018-06-04,2018-12-26,142
FIS,93.5,110.83,89.31,106.79,0.806,1.196,1.142,3.769,2018-09-21,2017-11-07,210
ADSK,116.35,166.29,101.55,163.94,0.611,1.614,1.409,3.694,2019-02-25,2018-02-09,274
ROST,59.49,104.35,59.19,93.86,0.567,1.586,1.578,3.588,2018-11-08,2017-09-12,170
ETN,73.5,89.85,64.46,80.92,0.717,1.255,1.101,3.379,2018-02-01,2018-12-26,226
EL,108.54,159.37,106.0,157.26,0.665,1.484,1.449,3.901,2019-02-25,2017-09-28,182
TRV,122.55,150.55,111.08,132.49,0.738,1.193,1.081,3.356,2018-02-02,2018-12-26,225
EQIX,474.19,495.35,335.29,428.98,0.677,1.279,0.905,2.957,2017-11-08,2018-12-26,283
F,11.43,13.48,7.41,8.76,0.55,1.182,0.766,2.143,2018-01-16,2018-12-26,238
FISV,62.155,86.29,60.19,84.24,0.698,1.4,1.355,3.846,2019-02-11,2017-11-01,206
EBAY,38.07,46.99,26.01,37.34,0.554,1.436,0.981,2.678,2018-02-01,2018-12-26,226
JCI,39.47,42.6,28.3,35.83,0.664,1.266,0.908,2.887,2017-10-27,2018-12-26,291
WMB,30.26,33.67,20.36,27.35,0.605,1.343,0.904,2.719,2018-01-24,2018-12-26,232
ROP,237.23,320.22,234.78,319.35,0.733,1.36,1.346,3.967,2019-02-25,2017-09-13,171
ALL,91.16,105.36,77.0,94.9,0.731,1.232,1.041,3.323,2017-12-29,2018-12-26,248
REGN,448.12,477.0,281.89,420.38,0.591,1.491,0.938,2.871,2017-10-05,2018-05-09,148
RHT,107.71,183.54,104.51,182.4,0.569,1.745,1.693,3.912,2019-02-25,2017-09-25,179
SYY,53.35,75.98,52.18,67.26,0.687,1.289,1.261,3.504,2018-08-24,2017-09-14,172
SRE,119.9,127.22,100.49,117.59,0.79,1.17,0.981,3.399,2018-09-14,2018-06-06,354
ATVI,66.48,84.68,39.85,41.96,0.471,1.053,0.631,1.586,2018-10-01,2019-02-11,90
DAL,48.94,61.32,45.08,51.41,0.735,1.14,1.05,3.219,2018-11-30,2019-01-03,21
DG,76.09,120.33,75.85,118.76,0.63,1.566,1.561,3.94,2019-02-15,2017-09-12,170
ORLY,196.06,394.42,190.0,375.16,0.482,1.975,1.913,3.748,2019-02-19,2017-10-26,202
XLNX,64.65,126.29,62.27,124.04,0.493,1.992,1.919,3.856,2019-02-25,2018-02-09,274
PSA,210.5,234.9,180.48,201.41,0.768,1.116,0.957,3.184,2018-07-06,2018-02-08,273
KHC,82.82,82.98,34.06,34.23,0.41,1.005,0.413,1.163,2017-09-12,2019-02-25,364
STI,53.86,75.08,46.05,65.77,0.613,1.428,1.221,3.248,2018-08-21,2018-12-26,87
YUM,77.71,95.7,72.61,93.5,0.759,1.288,1.203,3.781,2019-02-25,2017-09-28,182
EA,121.61,151.26,73.91,95.86,0.489,1.297,0.788,2.039,2018-07-13,2018-12-26,114
PEG,46.63,57.63,45.05,57.33,0.782,1.273,1.229,3.913,2019-02-22,2017-09-20,176
ALXN,145.8,147.29,92.56,133.17,0.628,1.439,0.913,2.954,2017-09-15,2018-12-24,320
MCO,135.95,187.98,129.26,172.5,0.688,1.335,1.269,3.583,2018-07-26,2018-12-24,104
XEL,50.47,55.36,41.51,54.71,0.75,1.318,1.084,3.603,2019-02-25,2018-02-07,272
APH,81.95,97.56,74.95,95.13,0.768,1.269,1.161,3.732,2018-09-14,2019-01-03,75
GIS,55.84,60.69,36.42,46.2,0.6,1.269,0.827,2.515,2018-01-25,2018-12-17,225
OKE,56.52,71.99,49.65,67.65,0.69,1.363,1.197,3.533,2018-07-10,2017-11-27,223
VFC,63.31,97.0,61.56,86.97,0.635,1.413,1.374,3.539,2018-08-10,2017-09-22,178
WELL,75.25,77.9,49.58,74.4,0.636,1.501,0.989,3.167,2019-01-31,2018-04-25,325
LYB,93.5,121.95,77.52,88.59,0.636,1.143,0.947,2.658,2018-01-29,2018-12-26,229
GLW,28.97,36.56,26.11,35.08,0.714,1.344,1.211,3.649,2018-09-21,2018-05-03,331
LRCX,170.22,234.88,122.64,179.6,0.522,1.464,1.055,2.63,2018-03-13,2018-12-26,199
LUV,53.5,66.99,44.28,53.96,0.661,1.219,1.009,2.945,2017-12-21,2018-12-26,253
HAL,40.67,57.86,24.7,31.75,0.427,1.285,0.781,1.764,2018-01-23,2018-12-26,233
STZ,203.68,236.62,150.37,167.15,0.635,1.112,0.821,2.455,2018-04-30,2019-01-09,175
STT,94.82,114.27,57.87,72.47,0.506,1.252,0.764,2.04,2018-01-24,2018-12-26,232
EQR,68.38,74.46,54.97,73.5,0.738,1.337,1.075,3.56,2019-02-25,2018-02-12,275
AVB,188.26,197.35,152.65,194.62,0.773,1.275,1.034,3.57,2019-02-22,2018-03-05,289
PPG,106.08,122.07,94.37,112.32,0.773,1.19,1.059,3.477,2018-01-18,2018-10-15,187
IR,89.01,107.64,79.63,106.93,0.74,1.343,1.201,3.765,2019-02-25,2018-04-24,324
CNC,45.365,74.49,41.78,64.02,0.561,1.532,1.411,3.302,2018-12-04,2017-10-13,193
MCK,159.05,178.86,106.11,130.18,0.593,1.227,0.818,2.425,2018-01-29,2018-12-24,228
ZBH,115.74,134.55,96.99,123.9,0.721,1.277,1.071,3.386,2018-09-21,2018-12-24,64
ED,86.0,89.7,71.12,81.62,0.793,1.148,0.949,3.326,2017-12-11,2018-06-12,125
A,66.27,79.84,60.42,79.34,0.757,1.313,1.197,3.8,2019-02-25,2018-06-28,370
HLT,65.98,88.11,63.76,83.55,0.724,1.31,1.266,3.73,2018-01-29,2018-10-24,187
FOX,25.48,50.96,24.3,50.41,0.477,2.074,1.978,3.866,2019-02-25,2017-11-06,209
MTB,147.17,197.37,133.78,172.47,0.678,1.289,1.172,3.337,2018-02-27,2018-12-26,209
PAYX,57.55,76.49,57.23,75.84,0.748,1.325,1.318,3.954,2019-02-25,2017-09-14,172
PCAR,67.72,79.69,53.43,69.49,0.67,1.301,1.026,3.118,2018-01-29,2018-12-26,229
DLR,125.9,126.51,96.56,117.11,0.763,1.213,0.93,3.27,2017-09-12,2018-03-02,118
DFS,58.35,81.93,54.36,71.03,0.663,1.307,1.217,3.347,2018-01-29,2018-12-26,229
WEC,66.93,76.67,58.48,75.52,0.763,1.291,1.128,3.691,2019-02-22,2018-06-11,357
ADM,43.0,52.07,38.59,42.43,0.741,1.1,0.987,3.093,2018-10-08,2017-11-15,216
FTV,67.61,88.34,62.89,81.6,0.712,1.298,1.207,3.567,2018-09-21,2018-12-26,65
MNST,56.48,70.22,47.61,58.54,0.678,1.23,1.036,3.073,2018-01-29,2018-05-17,76
DLTR,83.32,116.65,78.78,97.28,0.675,1.235,1.168,3.244,2018-01-31,2018-10-11,176
PH,165.32,212.8,140.82,176.25,0.662,1.252,1.066,3.069,2018-01-16,2018-12-24,237
PXD,129.69,213.4,119.08,142.93,0.558,1.2,1.102,2.569,2018-05-18,2018-12-26,152
CCL,67.82,72.7,45.64,58.57,0.628,1.283,0.864,2.697,2018-01-30,2018-12-26,228
TROW,83.61,127.43,82.82,98.11,0.65,1.185,1.173,3.065,2018-06-07,2017-09-13,171
HPE,13.36,19.475,12.087,16.76,0.621,1.387,1.254,3.28,2018-03-06,2018-12-26,204
AZO,538.47,926.75,533.0,889.6,0.575,1.669,1.652,3.819,2019-02-19,2017-09-20,176
KR,21.61,32.74,19.69,28.85,0.601,1.465,1.335,3.366,2018-09-06,2017-10-02,184
VTR,69.26,69.55,46.55,63.47,0.669,1.363,0.916,3.049,2017-09-12,2018-04-25,155
CMI,165.0,194.18,124.4,156.08,0.641,1.255,0.946,2.822,2018-01-29,2018-12-26,229
PPL,39.72,39.77,25.3,31.73,0.636,1.254,0.799,2.611,2017-09-12,2018-06-07,185
MSI,87.23,141.47,82.86,141.21,0.586,1.704,1.619,3.895,2019-02-25,2017-09-26,180
IQV,96.88,143.66,91.57,141.77,0.637,1.548,1.463,3.836,2019-02-25,2018-05-16,340
DTE,113.14,123.84,94.25,122.82,0.761,1.303,1.086,3.636,2019-02-25,2018-06-11,357
ES,64.15,70.62,52.76,69.37,0.747,1.315,1.081,3.58,2019-02-12,2018-06-11,357
WLTW,152.05,172.5,134.5,171.45,0.78,1.275,1.128,3.749,2019-02-25,2018-10-17,447
TWTR,17.7,47.79,16.57,31.99,0.347,1.931,1.807,2.594,2018-06-15,2017-09-26,180
APC,41.25,76.7,40.4,44.6,0.527,1.104,1.081,2.303,2018-07-10,2018-12-26,117
ROK,169.75,210.72,141.46,180.08,0.671,1.273,1.061,3.132,2017-10-31,2018-12-24,288
TDG,255.35,440.25,251.54,435.94,0.571,1.733,1.707,3.928,2019-02-20,2017-09-13,171
APTV,82.0453,103.23,58.8,83.05,0.57,1.412,1.012,2.763,2018-06-18,2018-12-26,132
AMD,12.66,34.14,9.04,24.71,0.265,2.733,1.952,2.483,2018-09-13,2018-04-04,310
SYF,29.35,40.59,21.775,31.83,0.536,1.462,1.084,2.729,2018-01-29,2018-12-26,229
MCHP,88.62,104.2,60.7,89.81,0.583,1.48,1.013,2.907,2018-06-08,2018-10-26,98
CXO,114.45,163.11,93.31,108.82,0.572,1.166,0.951,2.422,2018-05-02,2018-12-26,164
BXP,120.7,136.22,107.84,134.73,0.792,1.249,1.116,3.746,2019-02-25,2018-12-26,494
RCL,121.8,135.65,89.48,120.56,0.66,1.347,0.99,3.085,2018-01-29,2018-12-24,228
SWK,147.89,176.62,106.41,137.39,0.602,1.291,0.929,2.673,2018-01-22,2018-10-25,193
SBAC,149.64,186.35,140.62,181.09,0.755,1.288,1.21,3.772,2019-02-19,2017-09-25,179
O,59.33,70.48,47.25,69.4,0.67,1.469,1.17,3.536,2019-02-11,2018-02-12,275
